垃圾	(使用@喇叭+文字,即可使用全服喇叭)
坑	便宜
keng	便宜
吭	便宜
GM	爸爸
管理员	爸爸
技术	爸爸
草	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
日	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
妈	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
你妈	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
内服	好服
内	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
拖	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
脱	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
托	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
管理	爸爸
老G	爸爸
G	爸爸
干	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
强奸	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
逼	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
麻痹	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
废物	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
废B	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
B	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
操	(已和谐,使用@喇叭+文字,即可免和谐发全服喇叭)
